   x	S0  	z
 0.0	0.0009	2.1588
 1.0	0.0009	2.1579
 2.0	0.0009	2.1561
 3.0	3.02	2.1561
 3.1	0.0009	1.8541
 4.0	0.0009	1.8533
 5.0	0.0009	1.8524
 6.0	0.0009	1.8515
 7.0	0.0009	1.8506
 8.0	0.0009	1.8497
 9.0	0.0009	1.8488
10.0	0.0009	1.8479
11.0	0.0009	1.8470
12.0	0.0009	1.8461
13.0	0.0009	1.8452
14.0	0.0009	1.8443
15.0	0.0009	1.8434
16.0	0.0009	1.8425
17.0	0.0009	1.8416
18.0	0.0009	1.8407
19.0	0.0009	1.8398
20.0	0.0009	1.8389
21.0	0.0009	1.8380
22.0	0.0009	1.8371
23.0	0.0009	1.8362
24.0	0.0009	1.8353
25.0	0.0009	1.8344
26.0	0.0009	1.8335
27.0	0.0009	1.8326
28.0	0.0009	1.8317
29.0	0.0009	1.8308
30.0	0.0009	1.8299
31.0	0.0009	1.8290
32.0	0.0009	1.8281
33.0	0.0009	1.8272
34.0	0.0009	1.8263
35.0	3.07	1.8254
35.1	0.0024	1.5184
36.0	0.0024	1.5162
37.0	0.0024	1.5138
38.0	0.0024	1.5114
39.0	0.0024	1.5090
40.0	0.0024	1.5066
41.0	0.0024	1.5042
42.0	0.0024	1.5018
43.0	0.0024	1.4994
44.0	0.0024	1.4970
45.0	0.0024	1.4946
46.0	0.0024	1.4922
47.0	0.0024	1.4898
48.0	0.0024	1.4874
49.0	0.0024	1.4850
50.0	0.0024	1.4826
51.0	0.0024	1.4802
52.0	0.0024	1.4778
53.0	0.0024	1.4754
54.0	0.0024	1.4730
55.0	0.0024	1.4706
56.0	0.0024	1.4682
57.0	0.0024	1.4658
58.0	0.0024	1.4634
59.0	0.0024	1.4610
60.0	0.0024	1.4586
61.0	0.0024	1.4562
62.0	0.0024	1.4538
63.0	0.0024	1.4514
64.0	0.0024	1.4490
65.0	0.0024	1.4466
66.0	0.0024	1.4442
67.0	2.86	1.4418
67.1	0.0029	1.1558
68.0	0.0029	1.1532
69.0	0.0029	1.1503
70.0	0.0029	1.1474
71.0	0.0029	1.1445
72.0	0.0029	1.1416
73.0	0.0029	1.1387
74.0	0.0029	1.1358
75.0	0.0029	1.1329
76.0	0.0029	1.1300
77.0	0.0029	1.1271
78.0	0.0029	1.1242
79.0	0.0029	1.1213
80.0	0.0029	1.1184
81.0	0.0029	1.1155
82.0	0.0029	1.1126
83.0	0.0029	1.1097
84.0	0.0029	1.1068
85.0	0.0029	1.1039
86.0	0.0029	1.1010
87.0	0.0029	1.0981
88.0	0.0029	1.0952
89.0	0.0029	1.0923
90.0	0.0029	1.0894
91.0	0.0029	1.0865
92.0	0.0029	1.0836
93.0	0.0029	1.0807
94.0	0.0029	1.0778
95.0	0.0029	1.0749
96.0	0.0029	1.0720
97.0	0.0029	1.0691
98.0	0.0029	1.0662
99.0	0.0029	1.0633
100.0	0.0029	1.0604
101.0	0.0029	1.0575
102.0	0.0029	1.0546
103.0	0.0029	1.0517
104.0	0.0029	1.0488
105.0	0.0029	1.0459
106.0	0.0029	1.0430
107.0	0.0029	1.0401
108.0	0.0029	1.0372
109.0	0.0029	1.0343
110.0	0.0029	1.0314
111.0	0.0029	1.0285
112.0	0.0029	1.0256
113.0	0.0029	1.0227
114.0	0.0029	1.0198
115.0	0.0029	1.0169
116.0	0.0029	1.0140
117.0	0.0029	1.0111
118.0	0.0029	1.0082
119.0	0.0029	1.0053
120.0	0.0029	1.0024
121.0	0.0029	0.9995
122.0	0.0029	0.9966
123.0	0.0029	0.9937
124.0	0.0029	0.9908
125.0	0.0029	0.9879
126.0	0.0029	0.9850
127.0	0.0029	0.9821
128.0	0.0029	0.9792
129.0	0.0029	0.9763
130.0	0.0029	0.9734
131.0	2.91	0.9705
131.1	0.0035	0.6795
132.0	0.0035	0.6764
133.0	0.0035	0.6729
134.0	0.0035	0.6694
135.0	0.0035	0.6659
136.0	0.0035	0.6624
137.0	0.0035	0.6589
138.0	0.0035	0.6554
139.0	0.0035	0.6519
140.0	0.0035	0.6484
141.0	0.0035	0.6449
142.0	0.0035	0.6414
143.0	0.0035	0.6379
144.0	0.0035	0.6344
145.0	0.0035	0.6309
146.0	0.0035	0.6274
147.0	0.0035	0.6239
148.0	0.0035	0.6204
149.0	0.0035	0.6169
150.0	0.0035	0.6134
151.0	0.0035	0.6099
152.0	0.0035	0.6064
153.0	0.0035	0.6029
154.0	0.0035	0.5994
155.0	0.0035	0.5959
156.0	0.0035	0.5924
157.0	0.0035	0.5889
158.0	0.0035	0.5854
159.0	0.0035	0.5819
160.0	0.0035	0.5784
161.0	0.0035	0.5749
162.0	0.0035	0.5714
163.0	0.0035	0.5679
164.0	0.0035	0.5644
165.0	0.0035	0.5609
166.0	0.0035	0.5574
167.0	0.0035	0.5539
168.0	0.0035	0.5504
169.0	0.0035	0.5469
170.0	0.0035	0.5434
171.0	0.0035	0.5399
172.0	0.0035	0.5364
173.0	0.0035	0.5329
174.0	0.0035	0.5294
175.0	0.0035	0.5259
176.0	0.0035	0.5224
177.0	0.0035	0.5189
178.0	0.0035	0.5154
179.0	0.0035	0.5119
180.0	0.0035	0.5084
181.0	0.0035	0.5049
182.0	0.0035	0.5014
183.0	0.0035	0.4979
184.0	0.0035	0.4944
185.0	0.0035	0.4909
186.0	0.0035	0.4874
187.0	0.0035	0.4839
188.0	0.0035	0.4804
189.0	0.0035	0.4769
190.0	0.0035	0.4734
191.0	0.0035	0.4699
192.0	0.0035	0.4664
193.0	0.0035	0.4629
194.0	0.0035	0.4594
195.0	0.0035	0.4559
196.0	2.91	0.4524
196.1	0.0033	0.1614
197.0	0.0033	0.1584
198.0	0.0033	0.1551
199.0	0.0033	0.1518
200.0	0.0033	0.1485
201.0	0.0033	0.1452
202.0	0.0033	0.1419
203.0	0.0033	0.1386
204.0	0.0033	0.1353
205.0	0.0033	0.1320
206.0	0.0033	0.1287
207.0	0.0033	0.1254
208.0	0.0033	0.1221
209.0	0.0033	0.1188
210.0	0.0033	0.1155
211.0	0.0033	0.1122
212.0	0.0033	0.1089
213.0	0.0033	0.1056
214.0	0.0033	0.1023
215.0	0.0033	0.0990
216.0	0.0033	0.0957
217.0	0.0033	0.0924
218.0	0.0033	0.0891
219.0	0.0033	0.0858
220.0	0.0033	0.0825
221.0	0.0033	0.0792
222.0	0.0033	0.0759
223.0	0.0033	0.0726
224.0	0.0033	0.0693
225.0	0.0033	0.0660
226.0	0.0033	0.0627
227.0	0.0033	0.0594
228.0	0.0033	0.0561
229.0	0.0033	0.0528
230.0	0.0033	0.0495
231.0	0.0033	0.0462
232.0	0.0033	0.0429
233.0	0.0033	0.0396
234.0	0.0033	0.0363
235.0	0.0033	0.0330
236.0	0.0033	0.0297
237.0	0.0033	0.0264
238.0	0.0033	0.0231
239.0	0.0033	0.0198
240.0	0.0033	0.0165
241.0	0.0033	0.0132
242.0	0.0033	0.0099
243.0	0.0033	0.0066
244.0	0.0033	0.0033
245.0	0.0033	0.0000
