x	S0	z
0	0.011	2.0401
1	0.011	2.0291
2	0.011	2.0181
3	0.011	2.0071
4	0.011	1.9961
5	0.011	1.9851
6	0.011	1.9741
7	0.011	1.9631
8	0.011	1.9521
9	0.011	1.9411
10	0.011	1.9301
11	0.011	1.9191
12	0.011	1.9081
13	0.011	1.8971
14	0.011	1.8861
15	0.011	1.8751
16	0.011	1.8641
17	0.011	1.8531
18	0.011	1.8421
19	0.011	1.8311
20	0.011	1.8201
21	0.011	1.8091
22	0.011	1.7981
23	0.011	1.7871
24	0.011	1.7761
25	0.011	1.7651
26	0.011	1.7541
27	0.011	1.7431
28	0.011	1.7321
29	0.011	1.7211
30	0.011	1.7101
31	0.011	1.6991
32	0.011	1.6881
33	0.011	1.6771
34	0.011	1.6661
35	0.011	1.6551
36	0.011	1.6441
37	0.011	1.6331
38	0.011	1.6221
39	0.011	1.6111
40	0.011	1.6001
41	0.011	1.5891
42	0.011	1.5781
43	0.011	1.5671
44	0.011	1.5561
45	0.011	1.5451
46	0.011	1.5341
47	0.011	1.5231
48	0.011	1.5121
49	0.011	1.5011
50	0.011	1.4901
51	0.011	1.4791
52	0.011	1.4681
53	0.011	1.4571
54	0.011	1.4461
55	0.011	1.4351
56	0.011	1.4241
57	0.011	1.4131
58	0.011	1.4021
59	0.011	1.3911
60	0.011	1.3801
61	0.011	1.3691
62	0.011	1.3581
63	0.011	1.3471
64	0.011	1.3361
65	0.011	1.3251
66	0.011	1.3141
67	0.011	1.3031
68	0.0073	1.2921
69	0.0073	1.2848
70	0.0073	1.2775
71	0.0073	1.2702
72	0.0073	1.2629
73	0.0073	1.2556
74	0.0073	1.2483
75	0.0073	1.241
76	0.0073	1.2337
77	0.0073	1.2264
78	0.0073	1.2191
79	0.0073	1.2118
80	0.0073	1.2045
81	0.0073	1.1972
82	0.0073	1.1899
83	0.0073	1.1826
84	0.0073	1.1753
85	0.0073	1.168
86	0.0073	1.1607
87	0.0073	1.1534
88	0.0073	1.1461
89	0.0073	1.1388
90	0.0073	1.1315
91	0.0073	1.1242
92	0.0073	1.1169
93	0.0073	1.1096
94	0.0073	1.1023
95	0.0073	1.095
96	0.0073	1.0877
97	0.0073	1.0804
98	0.0073	1.0731
99	0.0073	1.0658
100	0.0073	1.0585
101	0.0073	1.0512
102	0.0073	1.0439
103	0.0073	1.0366
104	0.0073	1.0293
105	0.0073	1.022
106	0.0073	1.0147
107	0.0073	1.0074
108	0.0073	1.0001
109	0.0073	0.9928
110	0.0073	0.9855
111	0.0073	0.9782
112	0.0073	0.9709
113	0.0073	0.9636
114	0.0073	0.9563
115	0.0073	0.949
116	0.0073	0.9417
117	0.0073	0.9344
118	0.0073	0.9271
119	0.0073	0.9198
120	0.0073	0.9125
121	0.0073	0.9052
122	0.0073	0.8979
123	0.0073	0.8906
124	0.0073	0.8833
125	0.0073	0.876
126	0.0073	0.8687
127	0.0073	0.8614
128	0.0073	0.8541
129	0.0073	0.8468
130	0.0073	0.8395
131	0.0073	0.8322
132	0.0073	0.8249
133	0.0073	0.8176
134	0.0073	0.8103
135	0.0073	0.803
136	0.0073	0.7957
137	0.0073	0.7884
138	0.0073	0.7811
139	0.0073	0.7738
140	0.0073	0.7665
141	0.0073	0.7592
142	0.0073	0.7519
143	0.0073	0.7446
144	0.0073	0.7373
145	0.0073	0.73
146	0.0073	0.7227
147	0.0073	0.7154
148	0.0073	0.7081
149	0.0073	0.7008
150	0.0073	0.6935
151	0.0073	0.6862
152	0.0073	0.6789
153	0.0073	0.6716
154	0.0073	0.6643
155	0.0073	0.657
156	0.0073	0.6497
157	0.0073	0.6424
158	0.0073	0.6351
159	0.0073	0.6278
160	0.0073	0.6205
161	0.0073	0.6132
162	0.0073	0.6059
163	0.0073	0.5986
164	0.0073	0.5913
165	0.0073	0.584
166	0.0073	0.5767
167	0.0073	0.5694
168	0.0073	0.5621
169	0.0073	0.5548
170	0.0073	0.5475
171	0.0073	0.5402
172	0.0073	0.5329
173	0.0073	0.5256
174	0.0073	0.5183
175	0.0073	0.511
176	0.0073	0.5037
177	0.0073	0.4964
178	0.0073	0.4891
179	0.0073	0.4818
180	0.0073	0.4745
181	0.0073	0.4672
182	0.0073	0.4599
183	0.0073	0.4526
184	0.0073	0.4453
185	0.0073	0.438
186	0.0073	0.4307
187	0.0073	0.4234
188	0.0073	0.4161
189	0.0073	0.4088
190	0.0073	0.4015
191	0.0073	0.3942
192	0.0073	0.3869
193	0.0073	0.3796
194	0.0073	0.3723
195	0.0073	0.365
196	0.0073	0.3577
197	0.0073	0.3504
198	0.0073	0.3431
199	0.0073	0.3358
200	0.0073	0.3285
201	0.0073	0.3212
202	0.0073	0.3139
203	0.0073	0.3066
204	0.0073	0.2993
205	0.0073	0.292
206	0.0073	0.2847
207	0.0073	0.2774
208	0.0073	0.2701
209	0.0073	0.2628
210	0.0073	0.2555
211	0.0073	0.2482
212	0.0073	0.2409
213	0.0073	0.2336
214	0.0073	0.2263
215	0.0073	0.219
216	0.0073	0.2117
217	0.0073	0.2044
218	0.0073	0.1971
219	0.0073	0.1898
220	0.0073	0.1825
221	0.0073	0.1752
222	0.0073	0.1679
223	0.0073	0.1606
224	0.0073	0.1533
225	0.0073	0.146
226	0.0073	0.1387
227	0.0073	0.1314
228	0.0073	0.1241
229	0.0073	0.1168
230	0.0073	0.1095
231	0.0073	0.1022
232	0.0073	0.0949
233	0.0073	0.0876
234	0.0073	0.0803
235	0.0073	0.073
236	0.0073	0.0657
237	0.0073	0.0584
238	0.0073	0.0511
239	0.0073	0.0438
240	0.0073	0.0365
241	0.0073	0.0292
242	0.0073	0.0219
243	0.0073	0.0146
244	0.0073	0.0073
245	0.0073	0
